"DMD","Demand Media Inc.","4.72","TECHNOLOGY"
"CHE","Chemed Corp.","140.31","HEALTH CARE"
"BBX","BBX Capital Corporation","16.05","FINANCE"
"DATA","Tableau Software, Inc.","94.39","TECHNOLOGY"
"AON","Aon plc","90.8","FINANCE"
"TMK","Torchmark Corporation","57.35","FINANCE"
"ALL","Allstate Corporation (The)","58.24","FINANCE"
"CPF","CPB Inc.","21.02","FINANCE"
"DFS","Discover Financial Services","52.39","FINANCE"
"LXK","Lexmark International, Inc.","28.97","TECHNOLOGY"
"PRO","PROS Holdings, Inc.","23.2","TECHNOLOGY"
"KCG","KCG Holdings, Inc.","11.08","FINANCE"
"ALK","Alaska Air Group, Inc.","80.74","TRANSPORTATION"
"HSEB","HSBC Holdings plc","25.5","FINANCE"
"BXS","BancorpSouth, Inc.","24.23","FINANCE"
"TRU","TransUnion","25.35","FINANCE"
"IND","ING Group, N.V.","25.65","FINANCE"
"BEN","Franklin Resources, Inc.","39.17","FINANCE"
"ABM","ABM Industries Incorporated","29.66","FINANCE"
"KFI","KKR Financial Holdings LLC","27.0586","FINANCE"
"PYT","PPlus Trust","20.02","FINANCE"
"INZ","ING Group, N.V.","25.65","FINANCE"
"HPP","Hudson Pacific Properties, Inc.","29.05","FINANCE"
"MSL","MidSouth Bancorp","12.68","FINANCE"
"NQ","NQ Mobile Inc.","3.44","TECHNOLOGY"
"PAC","Grupo Aeroportuario Del Pacifico, S.A. de C.V.","87.7","TRANSPORTATION"
"AVG","AVG Technologies N.V.","23.94","TECHNOLOGY"
"HCI","HCI Group, Inc.","38.33","FINANCE"
"GSJ","Goldman Sachs Group, Inc. (The)","26.56","FINANCE"
"LYG","Lloyds Banking Group Plc","4.68","FINANCE"
"EPAM","EPAM Systems, Inc.","73.53","TECHNOLOGY"
"TPRE","Third Point Reinsurance Ltd.","14.01","FINANCE"
"ROL","Rollins, Inc.","28.28","FINANCE"
"YOKU","Youku Tudou Inc.","16.07","TECHNOLOGY"
"MSI","Motorola Solutions, Inc.","66.84","TECHNOLOGY"
"ALLY","Ally Financial Inc.","20.85","FINANCE"
"DOV","Dover Corporation","59.98","TECHNOLOGY"
"BOX","Box, Inc.","12.77","TECHNOLOGY"
"AFGE","American Financial Group, Inc.","25.66","FINANCE"
"GKOS","Glaukos Corporation","30.9","HEALTH CARE"
"LC","LendingClub Corporation","12.9","FINANCE"
"DNB","Dun & Bradstreet Corporation (The)","104.82","FINANCE"
"NVTA","Invitae Corporation","10.99","HEALTH CARE"
"IBM","International Business Machines Corporation","145.65","TECHNOLOGY","DOW"
"ABC","AmerisourceBergen Corporation (Holding Co)","104.62","HEALTH CARE"
"MBLY","Mobileye N.V.","47.3","TECHNOLOGY"
"LNC","Lincoln National Corporation","49.55","FINANCE"
"SLF","Sun Life Financial Inc.","32.13","FINANCE"
"HLF","Herbalife LTD.","56.27","HEALTH CARE"
"TWTR","Twitter, Inc.","26.9","TECHNOLOGY"
"CIA","Citizens, Inc.","6.49","FINANCE"
"BLOX","Infoblox Inc.","17.89","TECHNOLOGY"
"CNI","Canadian National Railway Company","55.19","TRANSPORTATION"
"EVRI","Everi Holdings Inc.","4.95","FINANCE"
"USB^A","U.S. Bancorp","798","FINANCE"
"HLS","HealthSouth Corporation","41.75","HEALTH CARE"
"ORI","Old Republic International Corporation","15.79","FINANCE"
"COF","Capital One Financial Corporation","75.76","FINANCE"
"AAN","Aaron&#39;s,  Inc.","38.75","TECHNOLOGY"
"SXI","Standex International Corporation","75.98","TECHNOLOGY"
"BBT","BB&T Corporation","36.56","FINANCE"
"USB","U.S. Bancorp","40.92","FINANCE"
"SNV","Synovus Financial Corp.","30.46","FINANCE"
"VOYA","Voya Financial, Inc.","42.56","FINANCE"
"GDDY","GoDaddy Inc.","25.21","TECHNOLOGY"
"EIG","Employers Holdings Inc","21.7","FINANCE"
"IX","Orix Corp Ads","65.83","FINANCE"
"EMC","EMC Corporation","24.35","TECHNOLOGY"
"MTB","M&T Bank Corporation","121.77","FINANCE"
"SYK","Stryker Corporation","98.76","HEALTH CARE"
"AF","Astoria Financial Corporation","16.39","FINANCE"
"GNK","Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ","4.89","TRANSPORTATION"
"EFC","Ellington Financial LLC","18.13","FINANCE"
"NMM","Navios Maritime Partners LP","8.48","TRANSPORTATION"
"BKFS","Black Knight Financial Services, Inc.","35.04","TECHNOLOGY"
"AER","Aercap Holdings N.V.","41.76","TECHNOLOGY"
"LEAF","Springleaf Holdings, Inc.","46.31","FINANCE"
"CAI","CAI International, Inc.","11.65","TECHNOLOGY"
"ANTM","Anthem, Inc.","145.87","HEALTH CARE"
"GMED","Globus Medical, Inc.","24.09","HEALTH CARE"
"ONDK","On Deck Capital, Inc.","10.2","FINANCE"
"WSH","Willis Group Holdings Limited","42.25","FINANCE"
"BMA","Macro Bank Inc.","46.26","FINANCE"
"GNRT","Gener8 Maritime, Inc.","11.99","TRANSPORTATION"
"ERA","Era Group, Inc.","15.61","TRANSPORTATION"
"HPQ","Hewlett-Packard Company","27.04","TECHNOLOGY"
"GSL","Global Ship Lease, Inc.","5.51","TRANSPORTATION"
"PANW","Palo Alto Networks, Inc.","179.54","TECHNOLOGY"
"GIMO","Gigamon Inc.","23.21","TECHNOLOGY"
"MKL","Markel Corporation","816.01","FINANCE"
"CRM","Salesforce.com Inc","69.89","TECHNOLOGY"
"IHS","IHS Inc.","116.08","TECHNOLOGY"
"BAP","Credicorp Ltd.","110.76","FINANCE"
"SYF","Synchrony Financial","31.17","FINANCE"
"HRTG","Heritage Insurance Holdings, Inc.","18.74","FINANCE"
"OCN","Ocwen Financial Corporation","8.14","FINANCE"
"NW^C","Natl Westminster Pfd","25.39","FINANCE"
"DCM","NTT DOCOMO, Inc","18.35","TECHNOLOGY"
"RY","Royal Bank Of Canada","54.72","FINANCE"
"IPHI","Inphi Corporation","24.38","TECHNOLOGY"
"FSL","Freescale Semiconductor, Ltd.","37.71","TECHNOLOGY"
"MCK","McKesson Corporation","196.61","HEALTH CARE"
"AV","Aviva plc","14.38","FINANCE"
"SLTB","Scorpio Bulkers Inc.","19","TRANSPORTATION"
"CGI","Celadon Group, Inc.","17.81","TRANSPORTATION"
"WK","Workiva Inc.","14.88","TECHNOLOGY"
"FXCM","FXCM Inc.","0.855","FINANCE"
"FBC","Flagstar Bancorp, Inc.","20.34","FINANCE"
"ASX","Advanced Semiconductor Engineering, Inc.","5.51","TECHNOLOGY"
"RMD","ResMed Inc.","50.95","HEALTH CARE"
"PRE","PartnerRe Ltd.","138.47","FINANCE"
"KSU^","Kansas City Southern","26.29","TRANSPORTATION"
"SYA","Symetra Financial Corporation","31.5","FINANCE"
"ISG","ING Group, N.V.","25.59","FINANCE"
"GWR","Genesee & Wyoming, Inc.","61.24","TRANSPORTATION"
"SRG","Seritage Growth Properties","41.55","FINANCE"
"RST","Rosetta Stone","6.96","TECHNOLOGY"
"KWN","Kennedy-Wilson Holdings Inc.","25.31","FINANCE"
"FAF","First American Corporation (The)","39.57","FINANCE"
"GHM","Graham Corporation","17.03","TECHNOLOGY"
"SB","Safe Bulkers, Inc","3.05","TRANSPORTATION"
"AGO","Assured Guaranty Ltd.","25.15","FINANCE"
"BGCA","BGC Partners, Inc.","26.66","FINANCE"
"MHFI","McGraw Hill Financial, Inc.","92.79","FINANCE"
"TDOC","Teladoc, Inc.","23.07","HEALTH CARE"
"MWR","Morgan Stanley","25.31","FINANCE"
"DTK","Deutsche Bank AG","27.29","FINANCE"
"MOH","Molina Healthcare Inc","80.08","HEALTH CARE"
"CKH","SEACOR Holdings, Inc.","59.76","TRANSPORTATION"
"OPY","Oppenheimer Holdings, Inc.","19.53","FINANCE"
"STC","Stewart Information Services Corporation","38.45","FINANCE"
"CUBS","Customers Bancorp, Inc","26.761","FINANCE"
"MIXT","MiX Telematics Limited","5.81","TECHNOLOGY"
"ORCL","Oracle Corporation","37.56","TECHNOLOGY"
"ESNT","Essent Group Ltd.","26.01","FINANCE"
"PYS","PPlus Trust","24.469","FINANCE"
"SFL","Ship Finance International Limited","15.75","TRANSPORTATION"
"LDOS","Leidos Holdings, Inc.","42.03","TECHNOLOGY"
"VRX","Valeant Pharmaceuticals International, Inc.","222.92","HEALTH CARE"
"PUK","Prudential Public Limited Company","42.83","FINANCE"
"HCJ","HCI Group, Inc.","25.831","FINANCE"
"PRH","Prudential Financial, Inc.","25.16","FINANCE"
"VEEV","Veeva Systems Inc.","25.61","TECHNOLOGY"
"KMPR","Kemper Corporation","36.04","FINANCE"
"QIHU","Qihoo 360 Technology Co. Ltd.","42.35","TECHNOLOGY"
"FAC","First Acceptance Corporation","2.85","FINANCE"
"STE","STERIS Corporation","64.07","HEALTH CARE"
"MDLY","Medley Management Inc.","8.14","FINANCE"
"MET","MetLife, Inc.","48.19","FINANCE"
"ZPIN","Zhaopin Limited","12.5","TECHNOLOGY"
"AFSD","Aflac Incorporated","25.12","FINANCE"
"BCH","Banco De Chile","64","FINANCE"
"RENN","Renren Inc.","2.8","TECHNOLOGY"
"CVT","CVENT, INC.","31.9","TECHNOLOGY"
"TK","Teekay Corporation","32.98","TRANSPORTATION"
"LLY","Eli Lilly and Company","81.89","HEALTH CARE"
"JMPB","JMP Group LLC","25.1732","FINANCE"
"MMC","Marsh & McLennan Companies, Inc.","53.96","FINANCE"
"BXLT","Baxalta Incorporated","37.35","HEALTH CARE"
"AHH","Armada Hoffler Properties, Inc.","9.92","FINANCE"
"GTY","Getty Realty Corporation","15.41","FINANCE"
"RUBI","The Rubicon Project, Inc.","14.16","TECHNOLOGY"
"CBG","CBRE Group, Inc.","32.29","FINANCE"
"CTLT","Catalent, Inc.","28.05","HEALTH CARE"
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","24.56","FINANCE"
